"ad_number","file_instance_id","file_name","file_sha256","normalized_text_sha256","page_count","logical_version_key"
"2023-0057","e17febf10e432eb9","2023-0057__AD_2023-0057_1__EASA_AD_2023_0057.pdf","847d36faa95be21809ba3b9d3e5ce62c7b09310c1b3590b482919bee33daec85","3866e0325597fc44ba9ab53e3221ac552cfd3be851e5e0f447a197f3094fd063","3","2023-0057|UNCORRECTED"
"2023-0093R1","f8c89a351f146b17","2023-0093R1__AD_2023-0093R1_1__EASA_AD_2023_0093_R1.pdf","3f8aed562c9e5615a5e3196c95bb970b4cce7831a7b8950ba32a1b0ec6cd2c3e","0221d2312ca129c635b1e8aa9b466bf1e91882d0012abf654fc62d4cfad47ad6","7","2023-0093R1|UNCORRECTED"
"2024-0001","dc59a5a0114b782d","2024-0001__AD_2024-0001_1__EASA_AD_2024_0001.pdf","a916bad7d9b3f498d45d19b3491237cdf0c23acf30c0bd1a542952df85aab5e2","e76704975e0df8efa78e4c4aaae504997743cc70c61d3111b50f5b917ad4b8ae","4","2024-0001|UNCORRECTED"
"2024-0038","db594c767fc8f98e","2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf","fdfe2bd21635319984f5a401e1b41a051e8fc533a64d9f07da5c0d8674549432","c286db3fae614d6d0b9a171c737d8f2c431a8ea720797e5883dd5b1886d1676d","10","2024-0038|UNCORRECTED"
"2024-0095","53e4fefd2d273164","2024-0095__AD_2024-0095_1__EASA_AD_2024_0095.pdf","3216f782771142a7b170cdf3e6fa14e59484be3bfc1fe5b667cbb46a35777cbb","dc9995643d9db619a23c3fb038015c87e16eaa48235033ce10fe4147fa1d6614","6","2024-0095|UNCORRECTED"
"2025-0008","b829efee031a2fcf","2025-0008__AD_2025-0008_1__EASA_AD_2025_0008.pdf","fbf718ab1a3ddb6336d20b0afdb696be0e24e87740f26547779e8154c748aef8","0118e7b92857c4e492cacfc648a863c5dd68f13d0e2747d595c5e4ac8d49b099","3","2025-0008|UNCORRECTED"
"2025-0068","6e80e67e640ba6d1","2025-0068__AD_2025-0068_1__EASA_AD_2025_0068_superseded.pdf","b9b9ffde8d641f4d7d15b5727802a41010367c05af4746e515cd5d58d0150003","9a4f5b9a8509a605f6f9faaf34e5507754a09721f12faf4d21a68cd2c458e7e8","10","2025-0068|UNCORRECTED"
"2025-0138","5762b029d7edbc0c","2025-0138__AD_2025-0138_1__EASA_AD_2025_0138.pdf","022bd207e853740b3b0c57facb7cb105e6ad4cf09c61286b4fa193483835fa93","d427a7edbb8a222acd01bbcd463e417110633b3e081f3f5b4c0ca738a86e702d","3","2025-0138|UNCORRECTED"
"2025-0181","b0e89b78cd668c9e","2025-0181__AD_2025-0181_1__EASA_AD_2025_0181.pdf","ad4f4e646bfa7d1aff96439c844798e50ed71a891889d13a27954fa326841136","ccaad3f21f1c2505454a30341f528293f6f4d160e4c1450583d6385ef4a4af1f","4","2025-0181|UNCORRECTED"
"2026-0017","1f3af1a66dad0ea4","2026-0017__AD_2026-0017_1__EASA_AD_2026_0017.pdf","3c33ddd4bfa6cd6b5684177b707f18c8b6ae538e4f919641146c2230f0b558bb","ed8aaa01b87c6f57ff762f5289f663e85cf14ea99c04ebeb8e9c4a68ebd1667a","10","2026-0017|UNCORRECTED"
